time,CO
2013-07-08 16:00:00,0.0594
2013-07-08 17:00:00,0.0636
2013-07-08 18:00:00,0.0742
2013-07-08 19:00:00,0.0598
2013-07-08 20:00:00,0.0693
2013-07-08 21:00:00,0.0825
2013-07-08 22:00:00,0.0839
2013-07-08 23:00:00,0.0724
2013-07-09 00:00:00,0.0655
2013-07-09 01:00:00,0.0704
2013-07-09 02:00:00,0.0753
2013-07-09 03:00:00,0.0541
2013-07-09 04:00:00,0.0556
2013-07-09 05:00:00,0.0487
2013-07-09 06:00:00,0.0453
2013-07-09 07:00:00,0.0531
2013-07-09 08:00:00,0.2004
2013-07-09 09:00:00,0.8494
2013-07-09 10:00:00,0.2627
2013-07-09 11:00:00,0.2336
2013-07-09 12:00:00,0.2391
2013-07-09 13:00:00,0.1568
2013-07-09 14:00:00,0.1595
2013-07-09 15:00:00,0.1696
2013-07-09 16:00:00,0.1406
2013-07-09 17:00:00,0.0939
2013-07-09 18:00:00,0.1683
2013-07-09 19:00:00,0.1107
2013-07-09 20:00:00,0.1126
2013-07-09 21:00:00,0.1129
2013-07-09 22:00:00,0.0972
2013-07-09 23:00:00,0.0933
2013-07-10 00:00:00,0.0778
2013-07-10 01:00:00,0.1637
2013-07-10 02:00:00,0.0957
2013-07-10 03:00:00,0.0572
2013-07-10 04:00:00,0.0508
2013-07-10 05:00:00,0.052000000000000005
2013-07-10 06:00:00,0.0482
2013-07-10 07:00:00,0.0557
2013-07-10 08:00:00,0.1705
2013-07-10 09:00:00,0.4094
2013-07-10 10:00:00,0.6305
2013-07-10 11:00:00,0.5628
2013-07-10 12:00:00,0.5242
2013-07-10 13:00:00,0.2543
2013-07-10 14:00:00,0.133
2013-07-10 15:00:00,0.1683
2013-07-10 16:00:00,0.1336
2013-07-10 17:00:00,0.1536
2013-07-10 18:00:00,0.15
2013-07-10 19:00:00,0.0855
2013-07-10 20:00:00,0.1872
2013-07-10 21:00:00,0.1181
2013-07-10 22:00:00,0.1174
2013-07-10 23:00:00,0.1171
2013-07-11 00:00:00,0.1093
2013-07-11 01:00:00,0.1158
2013-07-11 02:00:00,0.0825
2013-07-11 03:00:00,0.0622
2013-07-11 04:00:00,0.0664
2013-07-11 05:00:00,0.0549
2013-07-11 06:00:00,0.0512
2013-07-11 07:00:00,0.0774
2013-07-11 08:00:00,0.207
2013-07-11 09:00:00,0.4524
2013-07-11 10:00:00,0.29600000000000004
2013-07-11 11:00:00,0.0953
2013-07-11 12:00:00,0.0575
2013-07-11 13:00:00,0.0688
2013-07-11 14:00:00,0.0815
2013-07-11 15:00:00,0.0726
2013-07-11 16:00:00,0.0558
2013-07-11 17:00:00,0.0475
2013-07-11 18:00:00,0.0423
2013-07-11 19:00:00,0.0457
2013-07-11 20:00:00,0.1311
2013-07-11 21:00:00,0.2011
2013-07-11 22:00:00,0.1135
2013-07-11 23:00:00,0.0919
2013-07-12 00:00:00,0.1578
2013-07-12 01:00:00,0.1056
2013-07-12 02:00:00,0.0558
2013-07-12 03:00:00,0.0474
2013-07-12 04:00:00,0.0472
2013-07-12 05:00:00,0.0554
2013-07-12 06:00:00,0.0569
2013-07-12 07:00:00,0.0622
2013-07-12 08:00:00,0.0888
2013-07-12 09:00:00,0.1059
2013-07-12 10:00:00,0.1253
2013-07-12 11:00:00,0.0945
2013-07-12 12:00:00,0.1057
2013-07-12 13:00:00,0.0806
2013-07-12 14:00:00,0.0801
2013-07-12 15:00:00,0.0663
2013-07-12 16:00:00,0.0628
2013-07-12 17:00:00,0.0672
2013-07-12 18:00:00,0.0597
2013-07-12 19:00:00,0.0683
2013-07-12 20:00:00,0.0837
2013-07-12 21:00:00,0.0871
2013-07-12 22:00:00,0.1863
2013-07-12 23:00:00,0.1177
2013-07-13 00:00:00,0.0816
2013-07-13 01:00:00,0.0862
2013-07-13 02:00:00,0.0794
2013-07-13 03:00:00,0.1329
2013-07-13 04:00:00,0.1657
2013-07-13 05:00:00,0.1249
2013-07-13 06:00:00,0.1233
2013-07-13 07:00:00,0.1246
2013-07-13 08:00:00,0.0651
2013-07-13 09:00:00,0.0497
2013-07-13 10:00:00,0.0463
2013-07-13 11:00:00,0.0615
2013-07-13 12:00:00,0.0885
2013-07-13 13:00:00,0.0999
2013-07-13 14:00:00,0.0619
2013-07-13 15:00:00,0.045
2013-07-13 16:00:00,0.0408
2013-07-13 17:00:00,0.0393
2013-07-13 18:00:00,0.0371
2013-07-13 19:00:00,0.0374
2013-07-13 20:00:00,0.0669
2013-07-13 21:00:00,0.1759
2013-07-13 22:00:00,0.1126
2013-07-13 23:00:00,0.0808
2013-07-14 00:00:00,0.0905
2013-07-14 01:00:00,0.1138
2013-07-14 02:00:00,0.1021
2013-07-14 03:00:00,0.0691
2013-07-14 04:00:00,0.0819
2013-07-14 05:00:00,0.1073
2013-07-14 06:00:00,0.0582
