LastUpdated,PM10
2018-09-25 16:30:00,15.566
2018-09-25 16:15:00,13.666
2018-09-25 16:00:00,11.553
2018-09-25 15:45:00,10.939
2018-09-25 15:30:00,12.126
2018-09-25 15:15:00,12.046
2018-09-25 15:00:00,13.459
2018-09-25 14:45:00,13.333
2018-09-25 14:30:00,11.859
2018-09-25 14:15:00,10.946
2018-09-25 14:00:00,11.006
2018-09-25 13:45:00,13.099
2018-09-25 13:30:00,11.153
2018-09-25 13:15:00,7.919
2018-09-25 13:00:00,9.393
2018-09-25 12:45:00,10.159
2018-09-25 12:30:00,11.853
2018-09-25 12:15:00,5.119
2018-09-25 12:00:00,10.219
2018-09-25 11:45:00,11.686
2018-09-25 11:30:00,17.939
2018-09-25 11:15:00,15.753
2018-09-25 11:00:00,17.159
2018-09-25 10:45:00,10.813
2018-09-25 10:30:00,12.133
2018-09-25 10:15:00,6.233
2018-09-25 10:00:00,6.966
2018-09-25 09:45:00,7.866
2018-09-25 09:30:00,6.019
2018-09-25 09:15:00,4.959
2018-09-25 09:00:00,3.019
2018-09-25 08:45:00,9.439
2018-09-25 08:30:00,12.619
2018-09-25 08:15:00,16.046
2018-09-25 08:00:00,16.519
2018-09-25 07:45:00,15.526
2018-09-25 07:30:00,11.233
2018-09-25 07:15:00,13.166
2018-09-25 07:00:00,17.106
2018-09-25 06:45:00,15.886
2018-09-25 06:30:00,18.493
2018-09-25 06:15:00,21.853
2018-09-25 06:00:00,17.793
2018-09-25 05:45:00,17.399
2018-09-25 05:30:00,17.666
2018-09-25 05:15:00,17.426
2018-09-25 05:00:00,16.659
2018-09-25 04:45:00,15.599
2018-09-25 04:30:00,11.119
2018-09-25 04:15:00,8.643
2018-09-25 04:00:00,6.433
2018-09-25 03:45:00,5.593
2018-09-25 03:30:00,5.899
2018-09-25 03:15:00,5.239
2018-09-25 03:00:00,5.379
2018-09-25 02:45:00,4.226
2018-09-25 02:30:00,4.899
2018-09-25 02:15:00,4.493
2018-09-25 02:00:00,4.259
2018-09-25 01:45:00,5.733
2018-09-25 01:30:00,5.079
2018-09-25 01:15:00,5.353
2018-09-25 01:00:00,3.893
2018-09-25 00:45:00,4.613
2018-09-25 00:30:00,4.073
2018-09-25 00:15:00,3.733
2018-09-24 22:45:00,3.979
2018-09-24 22:30:00,4.599
2018-09-24 22:15:00,4.533
2018-09-24 22:00:00,5.146
2018-09-24 21:45:00,4.526
2018-09-24 21:30:00,4.286
2018-09-24 21:15:00,4.053
2018-09-24 21:00:00,4.793
2018-09-24 20:45:00,4.173
2018-09-24 20:30:00,3.479
2018-09-24 20:15:00,3.973
2018-09-24 20:00:00,5.533
2018-09-24 19:45:00,5.453
2018-09-24 19:30:00,5.733
2018-09-24 19:15:00,5.919
2018-09-24 19:00:00,5.566
2018-09-24 18:45:00,6.713
2018-09-24 18:30:00,6.546
2018-09-24 18:15:00,7.059
2018-09-24 18:00:00,7.766
2018-09-24 17:45:00,9.566
2018-09-24 17:30:00,8.266
2018-09-24 17:15:00,7.693
2018-09-24 17:00:00,8.973
2018-09-24 16:45:00,10.733
2018-09-24 16:30:00,9.533
2018-09-24 16:15:00,8.953
2018-09-24 16:00:00,10.726
2018-09-24 15:45:00,13.859
2018-09-24 15:30:00,13.266
2018-09-24 15:15:00,9.813
2018-09-24 15:00:00,8.586
2018-09-24 14:45:00,9.299
2018-09-24 14:30:00,8.693
2018-09-24 14:15:00,9.479
2018-09-24 14:00:00,11.573
2018-09-24 13:45:00,13.973
2018-09-24 13:30:00,14.079
2018-09-24 13:15:00,9.893
2018-09-24 13:00:00,7.333
2018-09-24 12:45:00,5.999
2018-09-24 12:30:00,10.193
2018-09-24 12:15:00,8.866
2018-09-24 12:00:00,6.493
2018-09-24 11:45:00,7.986
2018-09-24 11:30:00,7.999
2018-09-24 11:15:00,7.346
2018-09-24 11:00:00,9.266
