SystemCodeNumber,LastUpdated,PM10
linkoping,2018-09-25 16:30:00,15.566000
linkoping,2018-09-25 16:15:00,13.666000
linkoping,2018-09-25 16:00:00,11.553000
linkoping,2018-09-25 15:45:00,10.939000
linkoping,2018-09-25 15:30:00,12.126000
linkoping,2018-09-25 15:15:00,12.046000
linkoping,2018-09-25 15:00:00,13.459000
linkoping,2018-09-25 14:45:00,13.333000
linkoping,2018-09-25 14:30:00,11.859000
linkoping,2018-09-25 14:15:00,10.946000
linkoping,2018-09-25 14:00:00,11.006000
linkoping,2018-09-25 13:45:00,13.099000
linkoping,2018-09-25 13:30:00,11.153000
linkoping,2018-09-25 13:15:00,7.919000
linkoping,2018-09-25 13:00:00,9.393000
linkoping,2018-09-25 12:45:00,10.159000
linkoping,2018-09-25 12:30:00,11.853000
linkoping,2018-09-25 12:15:00,5.119000
linkoping,2018-09-25 12:00:00,10.219000
linkoping,2018-09-25 11:45:00,11.686000
linkoping,2018-09-25 11:30:00,17.939000
linkoping,2018-09-25 11:15:00,15.753000
linkoping,2018-09-25 11:00:00,17.159000
linkoping,2018-09-25 10:45:00,10.813000
linkoping,2018-09-25 10:30:00,12.133000
linkoping,2018-09-25 10:15:00,6.233000
linkoping,2018-09-25 10:00:00,6.966000
linkoping,2018-09-25 09:45:00,7.866000
linkoping,2018-09-25 09:30:00,6.019000
linkoping,2018-09-25 09:15:00,4.959000
linkoping,2018-09-25 09:00:00,3.019000
linkoping,2018-09-25 08:45:00,9.439000
linkoping,2018-09-25 08:30:00,12.619000
linkoping,2018-09-25 08:15:00,16.046000
linkoping,2018-09-25 08:00:00,16.519000
linkoping,2018-09-25 07:45:00,15.526000
linkoping,2018-09-25 07:30:00,11.233000
linkoping,2018-09-25 07:15:00,13.166000
linkoping,2018-09-25 07:00:00,17.106000
linkoping,2018-09-25 06:45:00,15.886000
linkoping,2018-09-25 06:30:00,18.493000
linkoping,2018-09-25 06:15:00,21.853000
linkoping,2018-09-25 06:00:00,17.793000
linkoping,2018-09-25 05:45:00,17.399000
linkoping,2018-09-25 05:30:00,17.666000
linkoping,2018-09-25 05:15:00,17.426000
linkoping,2018-09-25 05:00:00,16.659000
linkoping,2018-09-25 04:45:00,15.599000
linkoping,2018-09-25 04:30:00,11.119000
linkoping,2018-09-25 04:15:00,8.643000
linkoping,2018-09-25 04:00:00,6.433000
linkoping,2018-09-25 03:45:00,5.593000
linkoping,2018-09-25 03:30:00,5.899000
linkoping,2018-09-25 03:15:00,5.239000
linkoping,2018-09-25 03:00:00,5.379000
linkoping,2018-09-25 02:45:00,4.226000
linkoping,2018-09-25 02:30:00,4.899000
linkoping,2018-09-25 02:15:00,4.493000
linkoping,2018-09-25 02:00:00,4.259000
linkoping,2018-09-25 01:45:00,5.733000
linkoping,2018-09-25 01:30:00,5.079000
linkoping,2018-09-25 01:15:00,5.353000
linkoping,2018-09-25 01:00:00,3.893000
linkoping,2018-09-25 00:45:00,4.613000
linkoping,2018-09-25 00:30:00,4.073000
linkoping,2018-09-25 00:15:00,3.733000
linkoping,2018-09-24 22:45:00,3.979000
linkoping,2018-09-24 22:30:00,4.599000
linkoping,2018-09-24 22:15:00,4.533000
linkoping,2018-09-24 22:00:00,5.146000
linkoping,2018-09-24 21:45:00,4.526000
linkoping,2018-09-24 21:30:00,4.286000
linkoping,2018-09-24 21:15:00,4.053000
linkoping,2018-09-24 21:00:00,4.793000
linkoping,2018-09-24 20:45:00,4.173000
linkoping,2018-09-24 20:30:00,3.479000
linkoping,2018-09-24 20:15:00,3.973000
linkoping,2018-09-24 20:00:00,5.533000
linkoping,2018-09-24 19:45:00,5.453000
linkoping,2018-09-24 19:30:00,5.733000
linkoping,2018-09-24 19:15:00,5.919000
linkoping,2018-09-24 19:00:00,5.566000
linkoping,2018-09-24 18:45:00,6.713000
linkoping,2018-09-24 18:30:00,6.546000
linkoping,2018-09-24 18:15:00,7.059000
linkoping,2018-09-24 18:00:00,7.766000
linkoping,2018-09-24 17:45:00,9.566000
linkoping,2018-09-24 17:30:00,8.266000
linkoping,2018-09-24 17:15:00,7.693000
linkoping,2018-09-24 17:00:00,8.973000
linkoping,2018-09-24 16:45:00,10.733000
linkoping,2018-09-24 16:30:00,9.533000
linkoping,2018-09-24 16:15:00,8.953000
linkoping,2018-09-24 16:00:00,10.726000
linkoping,2018-09-24 15:45:00,13.859000
linkoping,2018-09-24 15:30:00,13.266000
linkoping,2018-09-24 15:15:00,9.813000
linkoping,2018-09-24 15:00:00,8.586000
linkoping,2018-09-24 14:45:00,9.299000
linkoping,2018-09-24 14:30:00,8.693000
linkoping,2018-09-24 14:15:00,9.479000
linkoping,2018-09-24 14:00:00,11.573000
linkoping,2018-09-24 13:45:00,13.973000
linkoping,2018-09-24 13:30:00,14.079000
linkoping,2018-09-24 13:15:00,9.893000
linkoping,2018-09-24 13:00:00,7.333000
linkoping,2018-09-24 12:45:00,5.999000
linkoping,2018-09-24 12:30:00,10.193000
linkoping,2018-09-24 12:15:00,8.866000
linkoping,2018-09-24 12:00:00,6.493000
linkoping,2018-09-24 11:45:00,7.986000
linkoping,2018-09-24 11:30:00,7.999000
linkoping,2018-09-24 11:15:00,7.346000
linkoping,2018-09-24 11:00:00,9.266000
linkoping,2018-09-24 10:45:00,12.006000
linkoping,2018-09-24 10:30:00,10.899000
linkoping,2018-09-24 10:15:00,11.739000
linkoping,2018-09-24 10:00:00,10.866000
linkoping,2018-09-24 09:45:00,7.399000
linkoping,2018-09-24 09:30:00,5.559000
linkoping,2018-09-24 09:15:00,7.466000
linkoping,2018-09-24 09:00:00,5.239000
linkoping,2018-09-24 08:45:00,6.153000
linkoping,2018-09-24 08:30:00,7.306000
linkoping,2018-09-24 08:15:00,6.899000
linkoping,2018-09-24 08:00:00,8.099000
linkoping,2018-09-24 07:45:00,11.306000
linkoping,2018-09-24 07:30:00,6.506000
linkoping,2018-09-24 07:15:00,10.013000
linkoping,2018-09-24 07:00:00,8.953000
linkoping,2018-09-24 06:45:00,8.819000
linkoping,2018-09-24 06:30:00,9.499000
linkoping,2018-09-24 06:15:00,9.613000
linkoping,2018-09-24 06:00:00,10.986000
linkoping,2018-09-24 05:45:00,9.713000
linkoping,2018-09-24 05:30:00,8.653000
linkoping,2018-09-24 05:15:00,8.613000
linkoping,2018-09-24 05:00:00,7.073000
linkoping,2018-09-24 04:45:00,7.306000
linkoping,2018-09-24 04:30:00,6.499000
linkoping,2018-09-24 04:15:00,5.218000
linkoping,2018-09-24 04:00:00,4.039000
linkoping,2018-09-24 03:45:00,2.886000
linkoping,2018-09-24 03:30:00,3.106000
linkoping,2018-09-24 03:15:00,2.359000
linkoping,2018-09-24 03:00:00,0.639000
linkoping,2018-09-24 02:45:00,2.879000
linkoping,2018-09-24 02:30:00,5.206000
linkoping,2018-09-24 02:15:00,3.833000
linkoping,2018-09-24 02:00:00,4.699000
linkoping,2018-09-24 01:45:00,3.293000
linkoping,2018-09-24 01:30:00,1.153000
linkoping,2018-09-24 01:15:00,1.193000
linkoping,2018-09-24 01:00:00,3.686000
linkoping,2018-09-24 00:45:00,2.499000
linkoping,2018-09-24 00:30:00,8.746000
linkoping,2018-09-24 00:15:00,2.466000
linkoping,2018-09-23 22:45:00,6.766000
linkoping,2018-09-23 22:30:00,6.319000
linkoping,2018-09-23 22:15:00,5.806000
linkoping,2018-09-23 22:00:00,4.679000
linkoping,2018-09-23 21:45:00,3.766000
linkoping,2018-09-23 21:30:00,4.579000
linkoping,2018-09-23 21:15:00,5.519000
linkoping,2018-09-23 21:00:00,6.366000
linkoping,2018-09-23 20:45:00,5.159000
linkoping,2018-09-23 20:30:00,6.939000
linkoping,2018-09-23 20:15:00,8.726000
linkoping,2018-09-23 20:00:00,7.946000
linkoping,2018-09-23 19:45:00,9.146000
linkoping,2018-09-23 19:30:00,8.213000
linkoping,2018-09-23 19:15:00,7.259000
linkoping,2018-09-23 19:00:00,6.986000
linkoping,2018-09-23 18:45:00,7.119000
linkoping,2018-09-23 18:30:00,7.273000
linkoping,2018-09-23 18:15:00,8.119000
linkoping,2018-09-23 18:00:00,8.439000
linkoping,2018-09-23 17:45:00,8.879000
linkoping,2018-09-23 17:30:00,7.426000
linkoping,2018-09-23 17:15:00,6.153000
linkoping,2018-09-23 17:00:00,6.859000
linkoping,2018-09-23 16:45:00,5.366000
linkoping,2018-09-23 16:30:00,5.886000
linkoping,2018-09-23 16:15:00,6.519000
linkoping,2018-09-23 16:00:00,5.619000
linkoping,2018-09-23 15:45:00,5.686000
linkoping,2018-09-23 15:30:00,6.486000
linkoping,2018-09-23 15:15:00,6.659000
linkoping,2018-09-23 15:00:00,6.273000
linkoping,2018-09-23 14:45:00,5.959000
linkoping,2018-09-23 14:30:00,7.026000
linkoping,2018-09-23 14:15:00,9.526000
linkoping,2018-09-23 14:00:00,4.919000
linkoping,2018-09-23 13:45:00,5.339000
linkoping,2018-09-23 13:30:00,2.533000
linkoping,2018-09-23 13:15:00,3.633000
linkoping,2018-09-23 13:00:00,3.173000
linkoping,2018-09-23 12:45:00,6.519000
linkoping,2018-09-23 12:30:00,5.946000
linkoping,2018-09-23 12:15:00,6.846000
linkoping,2018-09-23 12:00:00,5.939000
linkoping,2018-09-23 11:45:00,6.913000
linkoping,2018-09-23 11:30:00,7.333000
linkoping,2018-09-23 11:15:00,6.673000
linkoping,2018-09-23 11:00:00,5.033000
linkoping,2018-09-23 10:45:00,6.093000
linkoping,2018-09-23 10:30:00,6.979000
linkoping,2018-09-23 10:15:00,8.946000
linkoping,2018-09-23 10:00:00,10.053000
linkoping,2018-09-23 09:45:00,9.526000
linkoping,2018-09-23 09:30:00,9.186000
linkoping,2018-09-23 09:15:00,8.379000
linkoping,2018-09-23 09:00:00,8.459000
linkoping,2018-09-23 08:45:00,9.333000
linkoping,2018-09-23 08:30:00,9.666000
linkoping,2018-09-23 08:15:00,9.259000
linkoping,2018-09-23 08:00:00,11.533000
linkoping,2018-09-23 07:45:00,11.766000
linkoping,2018-09-23 07:30:00,13.879000
linkoping,2018-09-23 07:15:00,13.453000
linkoping,2018-09-23 07:00:00,13.073000
linkoping,2018-09-23 06:45:00,13.833000
linkoping,2018-09-23 06:30:00,12.739000
linkoping,2018-09-23 06:15:00,14.053000
linkoping,2018-09-23 06:00:00,13.313000
linkoping,2018-09-23 05:45:00,13.059000
linkoping,2018-09-23 05:30:00,13.219000
linkoping,2018-09-23 05:15:00,13.059000
linkoping,2018-09-23 05:00:00,13.019000
linkoping,2018-09-23 04:45:00,11.879000
linkoping,2018-09-23 04:30:00,10.446000
linkoping,2018-09-23 04:15:00,10.706000
linkoping,2018-09-23 04:00:00,9.573000
linkoping,2018-09-23 03:45:00,11.273000
linkoping,2018-09-23 03:30:00,10.206000
linkoping,2018-09-23 03:15:00,9.379000
linkoping,2018-09-23 03:00:00,9.526000
linkoping,2018-09-23 02:45:00,7.613000
linkoping,2018-09-23 02:30:00,8.079000
