GaziBaba,time
,2008-01-01 00:00:00
0.3132,2008-01-01 01:00:00
0.464,2008-01-01 02:00:00
0.4756,2008-01-01 03:00:00
0.4524,2008-01-01 04:00:00
0.4176,2008-01-01 05:00:00
0.3828,2008-01-01 06:00:00
0.3248,2008-01-01 07:00:00
0.2784,2008-01-01 08:00:00
0.3132,2008-01-01 09:00:00
0.5104,2008-01-01 10:00:00
0.6728,2008-01-01 11:00:00
0.7308,2008-01-01 12:00:00
0.7076,2008-01-01 13:00:00
0.6844,2008-01-01 14:00:00
0.7656,2008-01-01 15:00:00
0.87,2008-01-01 16:00:00
1.1484,2008-01-01 17:00:00
2.0996,2008-01-01 18:00:00
1.4964,2008-01-01 19:00:00
1.4616,2008-01-01 20:00:00
1.1716,2008-01-01 21:00:00
0.9164,2008-01-01 22:00:00
1.0556,2008-01-01 23:00:00
1.3804,2008-01-02 00:00:00
0.7424,2008-01-02 01:00:00
1.8212,2008-01-02 02:00:00
0.7308,2008-01-02 03:00:00
0.58,2008-01-02 04:00:00
0.8932,2008-01-02 05:00:00
0.7772,2008-01-02 06:00:00
1.3456,2008-01-02 07:00:00
2.436,2008-01-02 08:00:00
1.9372,2008-01-02 09:00:00
1.4036,2008-01-02 10:00:00
0.8236,2008-01-02 11:00:00
0.812,2008-01-02 12:00:00
0.928,2008-01-02 13:00:00
0.7772,2008-01-02 14:00:00
1.3804,2008-01-02 15:00:00
0.8352,2008-01-02 16:00:00
0.7192,2008-01-02 17:00:00
0.7772,2008-01-02 18:00:00
0.696,2008-01-02 19:00:00
0.8468,2008-01-02 20:00:00
0.7656,2008-01-02 21:00:00
0.6032,2008-01-02 22:00:00
0.348,2008-01-02 23:00:00
0.5684,2008-01-03 00:00:00
0.232,2008-01-03 01:00:00
0.116,2008-01-03 02:00:00
0.058,2008-01-03 03:00:00
0.0232,2008-01-03 04:00:00
0.1276,2008-01-03 05:00:00
0.2784,2008-01-03 06:00:00
0.174,2008-01-03 07:00:00
0.2436,2008-01-03 08:00:00
0.522,2008-01-03 09:00:00
0.4988,2008-01-03 10:00:00
0.3828,2008-01-03 11:00:00
,2008-01-03 12:00:00
,2008-01-03 13:00:00
,2008-01-03 14:00:00
0.0348,2008-01-03 15:00:00
0.2204,2008-01-03 16:00:00
1.4848,2008-01-03 17:00:00
1.4964,2008-01-03 18:00:00
1.1484,2008-01-03 19:00:00
1.2992,2008-01-03 20:00:00
1.1252,2008-01-03 21:00:00
1.102,2008-01-03 22:00:00
1.4384,2008-01-03 23:00:00
2.03,2008-01-04 00:00:00
1.8444,2008-01-04 01:00:00
1.044,2008-01-04 02:00:00
0.6612,2008-01-04 03:00:00
0.8352,2008-01-04 04:00:00
1.102,2008-01-04 05:00:00
1.044,2008-01-04 06:00:00
2.1576,2008-01-04 07:00:00
1.1484,2008-01-04 08:00:00
1.1716,2008-01-04 09:00:00
1.218,2008-01-04 10:00:00
1.1832,2008-01-04 11:00:00
1.0788,2008-01-04 12:00:00
1.276,2008-01-04 13:00:00
1.4964,2008-01-04 14:00:00
0.696,2008-01-04 15:00:00
1.16,2008-01-04 16:00:00
2.0996,2008-01-04 17:00:00
2.4592,2008-01-04 18:00:00
2.8884,2008-01-04 19:00:00
3.248,2008-01-04 20:00:00
2.8304,2008-01-04 21:00:00
2.8304,2008-01-04 22:00:00
2.4824,2008-01-04 23:00:00
3.3524,2008-01-05 00:00:00
2.7608,2008-01-05 01:00:00
2.8304,2008-01-05 02:00:00
2.436,2008-01-05 03:00:00
2.5404,2008-01-05 04:00:00
2.2156,2008-01-05 05:00:00
2.0184,2008-01-05 06:00:00
2.1576,2008-01-05 07:00:00
2.8304,2008-01-05 08:00:00
2.958,2008-01-05 09:00:00
2.2156,2008-01-05 10:00:00
2.5984,2008-01-05 11:00:00
2.4592,2008-01-05 12:00:00
2.1924,2008-01-05 13:00:00
1.3456,2008-01-05 14:00:00
0.9512,2008-01-05 15:00:00
0.9744,2008-01-05 16:00:00
0.7308,2008-01-05 17:00:00
1.5196,2008-01-05 18:00:00
2.5752,2008-01-05 19:00:00
2.5636,2008-01-05 20:00:00
2.3432,2008-01-05 21:00:00
2.4244,2008-01-05 22:00:00
2.2852,2008-01-05 23:00:00
2.5636,2008-01-06 00:00:00
2.3664,2008-01-06 01:00:00
1.9604,2008-01-06 02:00:00
1.6588,2008-01-06 03:00:00
1.2992,2008-01-06 04:00:00
1.044,2008-01-06 05:00:00
0.7192,2008-01-06 06:00:00
0.6148,2008-01-06 07:00:00
0.696,2008-01-06 08:00:00
0.8816,2008-01-06 09:00:00
0.9512,2008-01-06 10:00:00
1.3224,2008-01-06 11:00:00
1.392,2008-01-06 12:00:00
1.4848,2008-01-06 13:00:00
1.3456,2008-01-06 14:00:00
1.6936,2008-01-06 15:00:00
1.8444,2008-01-06 16:00:00
1.6356,2008-01-06 17:00:00
1.6936,2008-01-06 18:00:00
1.6936,2008-01-06 19:00:00
1.7284,2008-01-06 20:00:00
1.6588,2008-01-06 21:00:00
1.3456,2008-01-06 22:00:00
1.1368,2008-01-06 23:00:00
1.0788,2008-01-07 00:00:00
0.8584,2008-01-07 01:00:00
1.45,2008-01-07 02:00:00
2.7144,2008-01-07 03:00:00
2.668,2008-01-07 04:00:00
2.4244,2008-01-07 05:00:00
1.4964,2008-01-07 06:00:00
0.4408,2008-01-07 07:00:00
0.3828,2008-01-07 08:00:00
1.914,2008-01-07 09:00:00
1.7864,2008-01-07 10:00:00
1.6124,2008-01-07 11:00:00
1.5892,2008-01-07 12:00:00
1.7864,2008-01-07 13:00:00
1.8212,2008-01-07 14:00:00
1.4848,2008-01-07 15:00:00
1.2528,2008-01-07 16:00:00
1.5892,2008-01-07 17:00:00
1.276,2008-01-07 18:00:00
2.0996,2008-01-07 19:00:00
4.5588,2008-01-07 20:00:00
4.0484,2008-01-07 21:00:00
3.0392,2008-01-07 22:00:00
2.9348,2008-01-07 23:00:00
2.2504,2008-01-08 00:00:00
1.3804,2008-01-08 01:00:00
0.9396,2008-01-08 02:00:00
0.9048,2008-01-08 03:00:00
0.7076,2008-01-08 04:00:00
0.5684,2008-01-08 05:00:00
0.522,2008-01-08 06:00:00
0.4408,2008-01-08 07:00:00
0.4292,2008-01-08 08:00:00
0.7192,2008-01-08 09:00:00
0.7076,2008-01-08 10:00:00
0.8004,2008-01-08 11:00:00
1.2992,2008-01-08 12:00:00
1.624,2008-01-08 13:00:00
1.7284,2008-01-08 14:00:00
1.5544,2008-01-08 15:00:00
2.204,2008-01-08 16:00:00
1.7516,2008-01-08 17:00:00
3.8976,2008-01-08 18:00:00
3.5728,2008-01-08 19:00:00
3.596,2008-01-08 20:00:00
2.5056,2008-01-08 21:00:00
1.7748,2008-01-08 22:00:00
1.6936,2008-01-08 23:00:00
1.6936,2008-01-09 00:00:00
1.1484,2008-01-09 01:00:00
1.16,2008-01-09 02:00:00
1.7632,2008-01-09 03:00:00
4.0832,2008-01-09 04:00:00
3.4336,2008-01-09 05:00:00
2.8188,2008-01-09 06:00:00
2.4708,2008-01-09 07:00:00
2.5868,2008-01-09 08:00:00
1.2412,2008-01-09 09:00:00
0.696,2008-01-09 10:00:00
0.7076,2008-01-09 11:00:00
0.7308,2008-01-09 12:00:00
1.1832,2008-01-09 13:00:00
1.45,2008-01-09 14:00:00
1.624,2008-01-09 15:00:00
1.7748,2008-01-09 16:00:00
2.3896,2008-01-09 17:00:00
3.0276,2008-01-09 18:00:00
1.7864,2008-01-09 19:00:00
0.9976,2008-01-09 20:00:00
0.8468,2008-01-09 21:00:00
1.0672,2008-01-09 22:00:00
1.74,2008-01-09 23:00:00
1.856,2008-01-10 00:00:00
1.6588,2008-01-10 01:00:00
1.276,2008-01-10 02:00:00
1.0672,2008-01-10 03:00:00
1.8212,2008-01-10 04:00:00
0.6032,2008-01-10 05:00:00
0.1392,2008-01-10 06:00:00
0.2204,2008-01-10 07:00:00
0.8932,2008-01-10 08:00:00
0.9976,2008-01-10 09:00:00
1.2064,2008-01-10 10:00:00
1.334,2008-01-10 11:00:00
1.044,2008-01-10 12:00:00
0.754,2008-01-10 13:00:00
1.6008,2008-01-10 14:00:00
1.3572,2008-01-10 15:00:00
0.9744,2008-01-10 16:00:00
1.6588,2008-01-10 17:00:00
1.1832,2008-01-10 18:00:00
0.9512,2008-01-10 19:00:00
0.9164,2008-01-10 20:00:00
1.5892,2008-01-10 21:00:00
1.8328,2008-01-10 22:00:00
2.0068,2008-01-10 23:00:00
1.45,2008-01-11 00:00:00
1.6472,2008-01-11 01:00:00
1.2992,2008-01-11 02:00:00
1.0324,2008-01-11 03:00:00
1.4268,2008-01-11 04:00:00
1.624,2008-01-11 05:00:00
1.1368,2008-01-11 06:00:00
0.7424,2008-01-11 07:00:00
0.6844,2008-01-11 08:00:00
0.6728,2008-01-11 09:00:00
0.7424,2008-01-11 10:00:00
1.0788,2008-01-11 11:00:00
0.5916,2008-01-11 12:00:00
0.3596,2008-01-11 13:00:00
0.348,2008-01-11 14:00:00
