time,O3
2008-01-01 00:00:00,
2008-01-01 01:00:00,18.04
2008-01-01 02:00:00,16.6
2008-01-01 03:00:00,13.22
2008-01-01 04:00:00,11.48
2008-01-01 05:00:00,8.9
2008-01-01 06:00:00,7.16
2008-01-01 07:00:00,5.34
2008-01-01 08:00:00,15.68
2008-01-01 09:00:00,6.52
2008-01-01 10:00:00,7.0
2008-01-01 11:00:00,6.38
2008-01-01 12:00:00,5.4
2008-01-01 13:00:00,0.94
2008-01-01 14:00:00,7.16
2008-01-01 15:00:00,9.36
2008-01-01 16:00:00,18.72
2008-01-01 17:00:00,19.84
2008-01-01 18:00:00,20.84
2008-01-01 19:00:00,20.12
2008-01-01 20:00:00,20.12
2008-01-01 21:00:00,21.44
2008-01-01 22:00:00,23.8
2008-01-01 23:00:00,24.74
2008-01-02 00:00:00,15.96
2008-01-02 01:00:00,23.92
2008-01-02 02:00:00,19.7
2008-01-02 03:00:00,16.2
2008-01-02 04:00:00,14.26
2008-01-02 05:00:00,6.96
2008-01-02 06:00:00,11.28
2008-01-02 07:00:00,4.32
2008-01-02 08:00:00,2.46
2008-01-02 09:00:00,3.28
2008-01-02 10:00:00,5.42
2008-01-02 11:00:00,14.44
2008-01-02 12:00:00,26.42
2008-01-02 13:00:00,33.6
2008-01-02 14:00:00,39.32
2008-01-02 15:00:00,34.86
2008-01-02 16:00:00,29.32
2008-01-02 17:00:00,33.24
2008-01-02 18:00:00,37.66
2008-01-02 19:00:00,35.86
2008-01-02 20:00:00,27.62
2008-01-02 21:00:00,33.54
2008-01-02 22:00:00,24.18
2008-01-02 23:00:00,27.9
2008-01-03 00:00:00,29.6
2008-01-03 01:00:00,11.56
2008-01-03 02:00:00,4.48
2008-01-03 03:00:00,3.96
2008-01-03 04:00:00,2.78
2008-01-03 05:00:00,3.22
2008-01-03 06:00:00,2.1
2008-01-03 07:00:00,1.16
2008-01-03 08:00:00,2.84
2008-01-03 09:00:00,2.4
2008-01-03 10:00:00,6.16
2008-01-03 11:00:00,11.62
2008-01-03 12:00:00,26.4
2008-01-03 13:00:00,35.86
2008-01-03 14:00:00,38.62
2008-01-03 15:00:00,37.62
2008-01-03 16:00:00,21.24
2008-01-03 17:00:00,5.76
2008-01-03 18:00:00,5.14
2008-01-03 19:00:00,3.32
2008-01-03 20:00:00,3.7
2008-01-03 21:00:00,6.02
2008-01-03 22:00:00,2.78
2008-01-03 23:00:00,3.16
2008-01-04 00:00:00,3.38
2008-01-04 01:00:00,3.46
2008-01-04 02:00:00,3.92
2008-01-04 03:00:00,3.78
2008-01-04 04:00:00,1.92
