time,CO
2008-01-01 00:00:00,
2008-01-01 01:00:00,0.267
2008-01-01 02:00:00,0.255
2008-01-01 03:00:00,0.267
2008-01-01 04:00:00,0.3599
2008-01-01 05:00:00,0.38299999999999995
2008-01-01 06:00:00,0.348
2008-01-01 07:00:00,0.3361
2008-01-01 08:00:00,0.278
2008-01-01 09:00:00,0.29
2008-01-01 10:00:00,0.325
2008-01-01 11:00:00,0.406
2008-01-01 12:00:00,0.4179
2008-01-01 13:00:00,0.46399999999999997
2008-01-01 14:00:00,0.441
2008-01-01 15:00:00,0.174
2008-01-01 16:00:00,0.4759
2008-01-01 17:00:00,0.51
2008-01-01 18:00:00,0.522
2008-01-01 19:00:00,0.3941
2008-01-01 20:00:00,0.5339
2008-01-01 21:00:00,0.51
2008-01-01 22:00:00,0.4759
2008-01-01 23:00:00,0.4759
2008-01-02 00:00:00,0.4521
2008-01-02 01:00:00,0.429
2008-01-02 02:00:00,0.545
2008-01-02 03:00:00,0.4521
2008-01-02 04:00:00,0.429
2008-01-02 05:00:00,0.4521
2008-01-02 06:00:00,0.46399999999999997
2008-01-02 07:00:00,1.5312
2008-01-02 08:00:00,2.958
2008-01-02 09:00:00,2.668
2008-01-02 10:00:00,2.0184
2008-01-02 11:00:00,1.3804
2008-01-02 12:00:00,0.557
2008-01-02 13:00:00,0.4759
2008-01-02 14:00:00,0.5339
2008-01-02 15:00:00,0.696
2008-01-02 16:00:00,0.5339
2008-01-02 17:00:00,0.441
2008-01-02 18:00:00,0.3941
2008-01-02 19:00:00,0.38299999999999995
2008-01-02 20:00:00,0.348
2008-01-02 21:00:00,0.255
2008-01-02 22:00:00,0.29
2008-01-02 23:00:00,0.255
2008-01-03 00:00:00,0.23199999999999998
2008-01-03 01:00:00,0.9628
2008-01-03 02:00:00,1.624
2008-01-03 03:00:00,1.74
2008-01-03 04:00:00,2.0996
2008-01-03 05:00:00,1.9140000000000001
2008-01-03 06:00:00,1.3688
2008-01-03 07:00:00,1.6704
2008-01-03 08:00:00,4.0832
2008-01-03 09:00:00,2.842
