time,O3
2008-01-01 00:00:00,
2008-01-01 01:00:00,26.78
2008-01-01 02:00:00,21.62
2008-01-01 03:00:00,23.98
2008-01-01 04:00:00,26.88
2008-01-01 05:00:00,26.06
2008-01-01 06:00:00,19.82
2008-01-01 07:00:00,25.98
2008-01-01 08:00:00,24.86
2008-01-01 09:00:00,27.36
2008-01-01 10:00:00,23.54
2008-01-01 11:00:00,23.48
2008-01-01 12:00:00,24.2
2008-01-01 13:00:00,28.5
2008-01-01 14:00:00,32.06
2008-01-01 15:00:00,30.88
2008-01-01 16:00:00,36.24
2008-01-01 17:00:00,34.9
2008-01-01 18:00:00,25.08
2008-01-01 19:00:00,35.8
2008-01-01 20:00:00,28.56
2008-01-01 21:00:00,26.48
2008-01-01 22:00:00,28.22
2008-01-01 23:00:00,30.76
2008-01-02 00:00:00,24.28
2008-01-02 01:00:00,29.56
2008-01-02 02:00:00,24.28
2008-01-02 03:00:00,15.18
2008-01-02 04:00:00,18.02
2008-01-02 05:00:00,16.86
2008-01-02 06:00:00,17.56
2008-01-02 07:00:00,17.52
2008-01-02 08:00:00,23.76
2008-01-02 09:00:00,30.98
2008-01-02 10:00:00,29.6
2008-01-02 11:00:00,37.88
2008-01-02 12:00:00,42.82
2008-01-02 13:00:00,52.58
2008-01-02 14:00:00,55.62
2008-01-02 15:00:00,56.78
2008-01-02 16:00:00,56.88
2008-01-02 17:00:00,43.88
2008-01-02 18:00:00,41.66
2008-01-02 19:00:00,44.68
2008-01-02 20:00:00,43.58
2008-01-02 21:00:00,46.4
2008-01-02 22:00:00,40.34
2008-01-02 23:00:00,39.62
2008-01-03 00:00:00,42.02
2008-01-03 01:00:00,44.1
2008-01-03 02:00:00,47.48
2008-01-03 03:00:00,49.56
2008-01-03 04:00:00,48.2
2008-01-03 05:00:00,50.5
2008-01-03 06:00:00,47.72
2008-01-03 07:00:00,43.08
2008-01-03 08:00:00,37.18
2008-01-03 09:00:00,41.3
2008-01-03 10:00:00,43.82
2008-01-03 11:00:00,42.98
2008-01-03 12:00:00,49.66
2008-01-03 13:00:00,53.6
2008-01-03 14:00:00,62.48
2008-01-03 15:00:00,57.98
2008-01-03 16:00:00,29.28
2008-01-03 17:00:00,25.78
2008-01-03 18:00:00,32.28
2008-01-03 19:00:00,37.84
2008-01-03 20:00:00,43.28
2008-01-03 21:00:00,47.22
2008-01-03 22:00:00,26.12
2008-01-03 23:00:00,18.18
2008-01-04 00:00:00,15.26
2008-01-04 01:00:00,16.2
2008-01-04 02:00:00,24.78
2008-01-04 03:00:00,24.16
2008-01-04 04:00:00,28.22
2008-01-04 05:00:00,15.08
2008-01-04 06:00:00,9.72
2008-01-04 07:00:00,6.7
2008-01-04 08:00:00,11.04
2008-01-04 09:00:00,15.12
2008-01-04 10:00:00,24.68
2008-01-04 11:00:00,16.12
2008-01-04 12:00:00,24.08
2008-01-04 13:00:00,20.3
2008-01-04 14:00:00,24.38
2008-01-04 15:00:00,24.26
2008-01-04 16:00:00,17.32
2008-01-04 17:00:00,13.5
2008-01-04 18:00:00,11.26
2008-01-04 19:00:00,9.1
2008-01-04 20:00:00,7.68
2008-01-04 21:00:00,5.88
2008-01-04 22:00:00,9.7
2008-01-04 23:00:00,12.04
2008-01-05 00:00:00,9.26
2008-01-05 01:00:00,8.04
2008-01-05 02:00:00,7.92
2008-01-05 03:00:00,6.84
2008-01-05 04:00:00,5.34
2008-01-05 05:00:00,7.44
2008-01-05 06:00:00,3.7
2008-01-05 07:00:00,3.6
2008-01-05 08:00:00,4.3
2008-01-05 09:00:00,5.32
2008-01-05 10:00:00,9.0
2008-01-05 11:00:00,15.2
2008-01-05 12:00:00,9.74
2008-01-05 13:00:00,11.82
2008-01-05 14:00:00,20.12
2008-01-05 15:00:00,20.88
2008-01-05 16:00:00,13.52
2008-01-05 17:00:00,7.58
2008-01-05 18:00:00,5.6
2008-01-05 19:00:00,5.44
2008-01-05 20:00:00,9.7
2008-01-05 21:00:00,8.52
2008-01-05 22:00:00,7.54
2008-01-05 23:00:00,8.18
2008-01-06 00:00:00,6.76
2008-01-06 01:00:00,5.78
2008-01-06 02:00:00,5.36
2008-01-06 03:00:00,5.32
2008-01-06 04:00:00,4.98
2008-01-06 05:00:00,6.4
2008-01-06 06:00:00,6.06
2008-01-06 07:00:00,4.72
2008-01-06 08:00:00,5.18
2008-01-06 09:00:00,4.98
2008-01-06 10:00:00,8.72
2008-01-06 11:00:00,10.82
2008-01-06 12:00:00,9.58
2008-01-06 13:00:00,12.58
2008-01-06 14:00:00,17.0
2008-01-06 15:00:00,12.96
2008-01-06 16:00:00,8.38
2008-01-06 17:00:00,6.36
2008-01-06 18:00:00,6.44
2008-01-06 19:00:00,4.76
2008-01-06 20:00:00,5.12
2008-01-06 21:00:00,3.74
2008-01-06 22:00:00,6.5
2008-01-06 23:00:00,7.96
2008-01-07 00:00:00,12.6
2008-01-07 01:00:00,14.48
2008-01-07 02:00:00,9.42
2008-01-07 03:00:00,5.08
2008-01-07 04:00:00,5.02
2008-01-07 05:00:00,1.4
2008-01-07 06:00:00,
2008-01-07 07:00:00,12.72
2008-01-07 08:00:00,12.66
2008-01-07 09:00:00,7.82
2008-01-07 10:00:00,4.58
2008-01-07 11:00:00,6.42
2008-01-07 12:00:00,7.92
2008-01-07 13:00:00,15.16
2008-01-07 14:00:00,22.12
2008-01-07 15:00:00,23.4
2008-01-07 16:00:00,19.1
2008-01-07 17:00:00,5.08
2008-01-07 18:00:00,4.38
2008-01-07 19:00:00,8.12
2008-01-07 20:00:00,5.64
2008-01-07 21:00:00,4.5
2008-01-07 22:00:00,5.94
2008-01-07 23:00:00,3.44
2008-01-08 00:00:00,3.7
2008-01-08 01:00:00,5.96
2008-01-08 02:00:00,9.86
2008-01-08 03:00:00,12.56
2008-01-08 04:00:00,12.6
2008-01-08 05:00:00,17.08
2008-01-08 06:00:00,21.08
2008-01-08 07:00:00,16.6
2008-01-08 08:00:00,11.06
2008-01-08 09:00:00,10.08
2008-01-08 10:00:00,9.26
2008-01-08 11:00:00,5.48
2008-01-08 12:00:00,6.9
2008-01-08 13:00:00,10.98
2008-01-08 14:00:00,8.0
2008-01-08 15:00:00,6.66
2008-01-08 16:00:00,6.14
2008-01-08 17:00:00,9.78
2008-01-08 18:00:00,10.24
2008-01-08 19:00:00,11.98
2008-01-08 20:00:00,11.04
2008-01-08 21:00:00,5.58
2008-01-08 22:00:00,4.5
2008-01-08 23:00:00,4.08
2008-01-09 00:00:00,5.9
2008-01-09 01:00:00,2.42
2008-01-09 02:00:00,3.22
2008-01-09 03:00:00,3.56
2008-01-09 04:00:00,2.82
2008-01-09 05:00:00,4.94
2008-01-09 06:00:00,3.2
2008-01-09 07:00:00,2.16
2008-01-09 08:00:00,
2008-01-09 09:00:00,5.94
2008-01-09 10:00:00,11.18
2008-01-09 11:00:00,14.2
2008-01-09 12:00:00,14.16
2008-01-09 13:00:00,10.26
2008-01-09 14:00:00,4.12
2008-01-09 15:00:00,4.36
2008-01-09 16:00:00,3.32
2008-01-09 17:00:00,2.54
2008-01-09 18:00:00,2.56
2008-01-09 19:00:00,6.72
2008-01-09 20:00:00,6.98
2008-01-09 21:00:00,7.8
2008-01-09 22:00:00,2.48
2008-01-09 23:00:00,5.46
2008-01-10 00:00:00,8.0
2008-01-10 01:00:00,6.7
2008-01-10 02:00:00,6.96
2008-01-10 03:00:00,2.34
2008-01-10 04:00:00,5.48
2008-01-10 05:00:00,24.76
2008-01-10 06:00:00,26.36
2008-01-10 07:00:00,15.54
2008-01-10 08:00:00,12.08
2008-01-10 09:00:00,11.16
2008-01-10 10:00:00,9.82
2008-01-10 11:00:00,9.36
2008-01-10 12:00:00,11.72
2008-01-10 13:00:00,12.68
2008-01-10 14:00:00,12.9
2008-01-10 15:00:00,6.56
2008-01-10 16:00:00,6.88
2008-01-10 17:00:00,9.44
2008-01-10 18:00:00,19.82
2008-01-10 19:00:00,18.68
2008-01-10 20:00:00,15.3
2008-01-10 21:00:00,6.06
2008-01-10 22:00:00,6.08
2008-01-10 23:00:00,7.78
2008-01-11 00:00:00,4.56
2008-01-11 01:00:00,3.42
2008-01-11 02:00:00,2.84
2008-01-11 03:00:00,2.4
2008-01-11 04:00:00,3.06
2008-01-11 05:00:00,2.2
2008-01-11 06:00:00,2.64
2008-01-11 07:00:00,8.56
2008-01-11 08:00:00,13.14
2008-01-11 09:00:00,10.98
2008-01-11 10:00:00,12.7
2008-01-11 11:00:00,12.42
2008-01-11 12:00:00,8.28
2008-01-11 13:00:00,5.62
2008-01-11 14:00:00,9.5
2008-01-11 15:00:00,3.98
2008-01-11 16:00:00,3.2
2008-01-11 17:00:00,2.68
2008-01-11 18:00:00,2.58
2008-01-11 19:00:00,1.9
2008-01-11 20:00:00,2.48
2008-01-11 21:00:00,2.5
2008-01-11 22:00:00,3.0
2008-01-11 23:00:00,5.14
2008-01-12 00:00:00,1.7
2008-01-12 01:00:00,3.42
2008-01-12 02:00:00,3.6
2008-01-12 03:00:00,4.92
2008-01-12 04:00:00,5.44
2008-01-12 05:00:00,6.6
2008-01-12 06:00:00,11.12
2008-01-12 07:00:00,14.66
2008-01-12 08:00:00,16.12
2008-01-12 09:00:00,17.9
2008-01-12 10:00:00,17.92
2008-01-12 11:00:00,18.16
2008-01-12 12:00:00,17.28
2008-01-12 13:00:00,20.12
2008-01-12 14:00:00,18.22
2008-01-12 15:00:00,14.82
2008-01-12 16:00:00,13.78
2008-01-12 17:00:00,11.6
2008-01-12 18:00:00,13.1
2008-01-12 19:00:00,14.36
2008-01-12 20:00:00,14.66
2008-01-12 21:00:00,17.16
2008-01-12 22:00:00,16.62
2008-01-12 23:00:00,17.72
2008-01-13 00:00:00,20.24
2008-01-13 01:00:00,20.52
2008-01-13 02:00:00,21.6
2008-01-13 03:00:00,23.4
2008-01-13 04:00:00,23.86
2008-01-13 05:00:00,24.4
2008-01-13 06:00:00,25.22
2008-01-13 07:00:00,24.48
2008-01-13 08:00:00,19.42
2008-01-13 09:00:00,20.24
2008-01-13 10:00:00,23.16
2008-01-13 11:00:00,27.48
2008-01-13 12:00:00,25.86
2008-01-13 13:00:00,25.44
2008-01-13 14:00:00,18.26
2008-01-13 15:00:00,20.84
2008-01-13 16:00:00,17.64
2008-01-13 17:00:00,14.7
2008-01-13 18:00:00,12.88
2008-01-13 19:00:00,14.72
2008-01-13 20:00:00,14.66
2008-01-13 21:00:00,13.64
2008-01-13 22:00:00,10.48
2008-01-13 23:00:00,11.56
2008-01-14 00:00:00,14.12
2008-01-14 01:00:00,15.7
2008-01-14 02:00:00,14.02
2008-01-14 03:00:00,13.38
2008-01-14 04:00:00,9.76
2008-01-14 05:00:00,10.72
2008-01-14 06:00:00,11.94
2008-01-14 07:00:00,3.84
2008-01-14 08:00:00,2.84
2008-01-14 09:00:00,
2008-01-14 10:00:00,7.0
2008-01-14 11:00:00,10.98
2008-01-14 12:00:00,12.36
2008-01-14 13:00:00,14.12
2008-01-14 14:00:00,10.82
2008-01-14 15:00:00,11.64
2008-01-14 16:00:00,8.14
2008-01-14 17:00:00,7.34
2008-01-14 18:00:00,6.0
2008-01-14 19:00:00,6.1
2008-01-14 20:00:00,4.28
2008-01-14 21:00:00,10.86
2008-01-14 22:00:00,8.26
2008-01-14 23:00:00,7.96
2008-01-15 00:00:00,12.2
