steps=-1, best_train_window=96, accmin=8.586000, fit=17.636000
steps=0, best_train_window=196, accmin=1.821000, fit=78.144000
steps=1, best_train_window=120, accmin=2.511000, fit=19.797000
steps=2, best_train_window=120, accmin=3.022000, fit=19.797000
steps=3, best_train_window=120, accmin=3.492000, fit=19.797000
steps=4, best_train_window=120, accmin=3.918000, fit=19.797000
steps=5, best_train_window=120, accmin=4.310000, fit=19.797000
steps=6, best_train_window=120, accmin=4.695000, fit=19.797000
steps=7, best_train_window=120, accmin=5.053000, fit=19.797000
steps=8, best_train_window=120, accmin=5.366000, fit=19.797000
steps=9, best_train_window=120, accmin=5.643000, fit=19.797000
steps=10, best_train_window=120, accmin=5.880000, fit=19.797000
steps=11, best_train_window=120, accmin=6.072000, fit=19.797000
steps=12, best_train_window=120, accmin=6.240000, fit=19.797000
steps=13, best_train_window=120, accmin=6.385000, fit=19.797000
steps=14, best_train_window=120, accmin=6.505000, fit=19.797000
steps=15, best_train_window=120, accmin=6.608000, fit=19.797000
steps=16, best_train_window=120, accmin=6.700000, fit=19.797000
steps=17, best_train_window=120, accmin=6.789000, fit=19.797000
steps=18, best_train_window=120, accmin=6.872000, fit=19.797000
steps=19, best_train_window=120, accmin=6.957000, fit=19.797000
steps=20, best_train_window=120, accmin=7.041000, fit=19.797000
steps=21, best_train_window=120, accmin=7.123000, fit=19.797000
steps=22, best_train_window=120, accmin=7.196000, fit=19.797000
steps=23, best_train_window=120, accmin=7.257000, fit=19.797000
