steps=-1, best_train_window=96, accmin=6.388000, fit=20.472000
steps=0, best_train_window=196, accmin=1.748000, fit=36.088000
steps=1, best_train_window=196, accmin=2.217000, fit=36.088000
steps=2, best_train_window=196, accmin=2.607000, fit=36.088000
steps=3, best_train_window=196, accmin=2.940000, fit=36.088000
steps=4, best_train_window=196, accmin=3.221000, fit=36.088000
steps=5, best_train_window=196, accmin=3.505000, fit=36.088000
steps=6, best_train_window=196, accmin=3.802000, fit=36.088000
steps=7, best_train_window=96, accmin=4.087000, fit=20.472000
steps=8, best_train_window=96, accmin=4.219000, fit=20.472000
steps=9, best_train_window=96, accmin=4.344000, fit=20.472000
steps=10, best_train_window=96, accmin=4.434000, fit=20.472000
steps=11, best_train_window=96, accmin=4.509000, fit=20.472000
steps=12, best_train_window=96, accmin=4.568000, fit=20.472000
steps=13, best_train_window=96, accmin=4.612000, fit=20.472000
steps=14, best_train_window=96, accmin=4.661000, fit=20.472000
steps=15, best_train_window=96, accmin=4.714000, fit=20.472000
steps=16, best_train_window=96, accmin=4.773000, fit=20.472000
steps=17, best_train_window=96, accmin=4.837000, fit=20.472000
steps=18, best_train_window=96, accmin=4.910000, fit=20.472000
steps=19, best_train_window=96, accmin=4.990000, fit=20.472000
steps=20, best_train_window=96, accmin=5.078000, fit=20.472000
steps=21, best_train_window=96, accmin=5.178000, fit=20.472000
steps=22, best_train_window=96, accmin=5.283000, fit=20.472000
steps=23, best_train_window=96, accmin=5.396000, fit=20.472000
